LATITUD;LONGITUD;DIA_SEMANA;MES_LARGO;DESCRIPCION_CONDUCTA;;;
4.123.782.989;-736.266.809;7;1;2395;;;
4.124.880.706;-7.361.946.237;2;11;2395;;;
4.126.488.858;-7.354.613.077;2;9;2396;;;
4.126.592.871;-7.360.858.333;5;11;2395;;;
4.126.863.394;-7.363.201.511;6;4;2396;;;
4.127.164.752;-7.361.586.606;2;10;2395;;;
4.129.582.932;-7.359.236.971;1;5;2395;;;
4.131.204.998;-7.361.098.659;1;9;2395;;;
4.131.359.103;-7.363.412.919;4;11;2395;;;
4.133.188.296;-7.363.417.559;2;10;2395;;;
4.133.331.811;-7.362.403.017;5;8;2395;;;
4.133.460.395;-736.332.121;1;2;2395;;;
41.376.621;-7.358.606.086;7;7;2393;;;
4.139.492.313;-7.361.151.563;4;5;2395;;;
4.140.632.487;-7.364.705.693;7;9;2395;;;
4.141.996.842;-7.363.265.347;1;2;2395;;;
4.144.368.173;-7.361.040.308;3;2;2395;;;
4.146.746.491;-7.360.467.803;3;5;2395;;;
4.147.029.521;-7.358.403.973;3;5;2395;;;
4.148.041.837;-7.361.772.409;5;5;2395;;;
4.148.513.611;-7.360.804.152;3;1;2395;;;
414.878.982;-7.362.725.677;1;11;2395;;;
4.149.316.987;-7.362.855.748;4;2;2395;;;
4.152.103.696;-7.362.838.876;4;11;2395;;;
4.152.529.612;-7.363.536.717;6;5;2395;;;
4.153.610.417;-7.363.456.909;5;1;2395;;;
4.153.618.565;-7.360.209.562;2;12;2396;;;
4.154.415.039;-7.361.607.206;3;9;2395;;;
4.155.562.147;-7.363.054.526;7;5;2395;;;
4.168.197.349;-7.361.328.256;6;2;2395;;;
4.121.124.631;-7.356.360.068;2;8;2393;;;
4.146.220.311;-7.360.941.463;3;8;2393;;;
4.152.230.581;-7.363.617.676;4;3;2395;;;
4.115.175.121;-7.361.028.201;2;5;2395;;;
4.123.233.173;-7.354.180.705;5;4;2395;;;
4.131.872.622;-7.363.279.511;6;3;2395;;;
4.132.857.814;-7.363.709.298;4;6;2395;;;
4.137.474.816;-7.358.408.036;6;4;2395;;;
4.138.252.913;-7.358.724.786;5;7;2395;;;
4.139.406.885;-73.636.087;6;4;2395;;;
4.140.582.876;-7.363.902.204;6;3;2395;;;
4.145.359.887;-7.363.497.626;5;4;2395;;;
4.147.886.754;-7.364.076.925;2;3;2395;;;
4.149.144.311;-73.628.142;7;3;2395;;;
4.160.567.292;-7.364.518.706;6;3;2396;;;
4.148.543.946;-7.361.142.532;4;7;2395;;;
4.126.635.675;-7.363.821.637;6;10;2395;;;
4.116.098.756;-7.362.307.205;2;1;2396;;;
4.118.742.546;-7.359.896.391;1;9;2395;;;
4.121.017.655;-7.362.677.563;7;11;2395;;;
4.124.210.471;-7.363.153.666;4;1;2395;;;
4.125.998.594;-736.150.338;4;11;2395;;;
4.132.566.113;-7.362.691.495;6;6;2395;;;
4.153.140.198;-7.363.782.003;4;10;2395;;;
4.149.107.501;-736.289.252;1;5;2395;;;
4.122.267.986;-7.363.413.877;1;4;2395;;;
4.127.706.206;-7.363.836.658;6;3;2395;;;
4.178.020.308;-7.361.856.115;4;3;2396;;;
415.076.611;-7.364.076.447;2;8;2395;;;
4.142.152.004;-7.363.426.816;3;1;2395;;;
4.142.986.667;-7.363.823.783;6;2;2395;;;
3.999.410.424;-7.377.098.024;7;3;2396;;;
4.260.623.415;-7.356.321.658;5;2;2393;;;
4.262.863.407;-7.356.262.725;1;2;2395;;;
4.263.527.894;-7.356.484.556;1;2;2393;;;
4.133.580.608;-7.361.308.944;1;5;2395;;;
4.137.700.454;-7.357.922.923;5;5;2394;;;
4.268.968.577;-7.348.473.667;5;6;2395;;;
4.268.158.971;-7.355.831.605;3;10;2396;;;
3.988.207.394;-7.378.026.605;6;8;2395;;;
3.986.041.642;-7.376.284.783;1;4;2395;;;
4.152.103.696;-7.362.847.459;3;10;2395;;;
4.152.324.612;-7.361.460.071;6;8;2395;;;
4.128.938.785;-7.365.206.978;3;12;2396;;;
4.131.763.841;-7.365.258.476;3;12;2396;;;
4.149.332.216;-7.363.577.556;7;3;2395;;;
4.148.971.067;-7.363.689.673;5;1;2395;;;
3.985.348.548;-7.377.602.939;7;10;2396;;;
3.992.273.608;-7.376.047.858;4;4;2395;;;
4.271.210.393;-7.348.308.881;6;4;2395;;;
427.129;-7.348.999.367;7;1;2395;;;
4.133.355.888;-7.362.491.798;3;2;2396;;;
4.083.007.272;-7.366.407.407;6;6;2395;;;
4.104.922.959;-7.364.841.934;4;7;2395;;;
